POSITION NAME,IMPORT NAME,CATEGORY,MINIMUM HOURS BILLED PER DAY,STANDARD POSITION RATE
BREAKOUT MANAGER <3XL½>,BREAKOUT_MANAGER_<3XL½>,TECH,5,60.00
BREAKOUT MANAGER <3XL>,BREAKOUT_MANAGER_<3XL>,TECH,10,50.00
BREAKOUT MANAGER <2XL½>,BREAKOUT_MANAGER_<2XL½>,TECH,5,54.00
BREAKOUT MANAGER <2XL>,BREAKOUT_MANAGER_<2XL>,TECH,10,45.00
BREAKOUT MANAGER <XL½>,BREAKOUT_MANAGER_<XL½>,TECH,5,50.00
BREAKOUT MANAGER <XL>,BREAKOUT_MANAGER_<XL>,TECH,10,40.00
BREAKOUT MANAGER <L½>,BREAKOUT_MANAGER_<L½>,TECH,5,40.00
BREAKOUT MANAGER <L>,BREAKOUT_MANAGER_<L>,TECH,10,35.00
CABLE PAGE <S½>,CABLE_PAGE_<S½>,TECH,5,30.00
CABLE PAGE <S>,CABLE_PAGE_<S>,TECH,10,25.00
CAMERA JIB <>,CAMERA_JIB_<>,TECH,10,
CAMERA <3XL½>,CAMERA_<3XL½>,TECH,5,60.00
CAMERA <3XL>,CAMERA_<3XL>,TECH,10,50.00
CAMERA <2XL½>,CAMERA_<2XL½>,TECH,5,54.00
CAMERA <2XL>,CAMERA_<2XL>,TECH,10,45.00
CAMERA <XL½>,CAMERA_<XL½>,TECH,5,50.00
CAMERA <XL>,CAMERA_<XL>,TECH,10,40.00
CAMERA <L½>,CAMERA_<L½>,TECH,5,40.00
CAMERA <L>,CAMERA_<L>,TECH,10,35.00
CAMERA <M½>,CAMERA_<M½>,TECH,5,35.00
CAMERA <M>,CAMERA_<M>,TECH,10,30.00
CAMERA LONG LENS <3XL½>,CAMERA_LONG_LENS_<3XL½>,TECH,5,60.00
CAMERA LONG LENS <3XL>,CAMERA_LONG_LENS_<3XL>,TECH,10,50.00
CAMERA LONG LENS <2XL½>,CAMERA_LONG_LENS_<2XL½>,TECH,5,54.00
CAMERA LONG LENS <2XL>,CAMERA_LONG_LENS_<2XL>,TECH,10,45.00
CAMERA LONG LENS <XL½>,CAMERA_LONG_LENS_<XL½>,TECH,5,50.00
CAMERA LONG LENS <XL>,CAMERA_LONG_LENS_<XL>,TECH,10,40.00
CAMERA LONG LENS <L½>,CAMERA_LONG_LENS_<L½>,TECH,5,40.00
CAMERA LONG LENS <L>,CAMERA_LONG_LENS_<L>,TECH,10,35.00
CAMERA LONG LENS <M½>,CAMERA_LONG_LENS_<M½>,TECH,5,35.00
CAMERA LONG LENS <M>,CAMERA_LONG_LENS_<M>,TECH,10,30.00
CAMERA HI-DEF <3XL½>,CAMERA_HI-DEF_<3XL½>,TECH,5,60.00
CAMERA HI-DEF <3XL>,CAMERA_HI-DEF_<3XL>,TECH,10,50.00
CAMERA HI-DEF <2XL½>,CAMERA_HI-DEF_<2XL½>,TECH,5,54.00
CAMERA HI-DEF <2XL>,CAMERA_HI-DEF_<2XL>,TECH,10,45.00
CAMERA HI-DEF <XL½>,CAMERA_HI-DEF_<XL½>,TECH,5,50.00
CAMERA HI-DEF <XL>,CAMERA_HI-DEF_<XL>,TECH,10,40.00
CAMERA HI-DEF <L½>,CAMERA_HI-DEF_<L½>,TECH,5,40.00
CAMERA HI-DEF <L>,CAMERA_HI-DEF_<L>,TECH,10,35.00
CAMERA HANDHELD <3XL½>,CAMERA_HANDHELD_<3XL½>,TECH,5,60.00
CAMERA HANDHELD <3XL>,CAMERA_HANDHELD_<3XL>,TECH,10,50.00
CAMERA HANDHELD <2XL½>,CAMERA_HANDHELD_<2XL½>,TECH,5,54.00
CAMERA HANDHELD <2XL>,CAMERA_HANDHELD_<2XL>,TECH,10,45.00
CAMERA HANDHELD <XL½>,CAMERA_HANDHELD_<XL½>,TECH,5,50.00
CAMERA HANDHELD <XL>,CAMERA_HANDHELD_<XL>,TECH,10,40.00
CAMERA HANDHELD <L½>,CAMERA_HANDHELD_<L½>,TECH,5,40.00
CAMERA HANDHELD <L>,CAMERA_HANDHELD_<L>,TECH,10,35.00
CAMERA HANDHELD <M½>,CAMERA_HANDHELD_<M½>,TECH,5,35.00
CAMERA HANDHELD <M>,CAMERA_HANDHELD_<M>,TECH,10,30.00
CAMERA REMOTE <3XL½>,CAMERA_REMOTE_<3XL½>,TECH,5,60.00
CAMERA REMOTE <3XL>,CAMERA_REMOTE_<3XL>,TECH,10,50.00
CAMERA REMOTE <2XL½>,CAMERA_REMOTE_<2XL½>,TECH,5,54.00
CAMERA REMOTE <2XL>,CAMERA_REMOTE_<2XL>,TECH,10,45.00
CAMERA REMOTE <XL½>,CAMERA_REMOTE_<XL½>,TECH,5,50.00
CAMERA REMOTE <XL>,CAMERA_REMOTE_<XL>,TECH,10,40.00
CAMERA REMOTE <L½>,CAMERA_REMOTE_<L½>,TECH,5,40.00
CAMERA REMOTE <L>,CAMERA_REMOTE_<L>,TECH,10,35.00
CAMERA REMOTE <M½>,CAMERA_REMOTE_<M½>,TECH,5,35.00
CAMERA REMOTE <M>,CAMERA_REMOTE_<M>,TECH,10,30.00
CAMERA UTILITY <S½>,CAMERA_UTILITY_<S½>,TECH,5,30.00
CAMERA UTILITY <S>,CAMERA_UTILITY_<S>,TECH,10,25.00
CARPENTER <XL½>,CARPENTER_<XL½>,TECH,5,50.00
CARPENTER <XL>,CARPENTER_<XL>,TECH,10,40.00
CARPENTER <L½>,CARPENTER_<L½>,TECH,5,40.00
CARPENTER <L>,CARPENTER_<L>,TECH,10,35.00
CARPENTER <M½>,CARPENTER_<M½>,TECH,5,35.00
CARPENTER <M>,CARPENTER_<M>,TECH,10,30.00
CARPENTER <S½>,CARPENTER_<S½>,TECH,5,30.00
CARPENTER <S>,CARPENTER_<S>,TECH,10,25.00
CLIENT SHOP - AUDIO HAND,CLIENT_SHOP-AUDIO_HAND,HAND,,
CLIENT SHOP - AV HAND,CLIENT_SHOP-AV_HAND,HAND,,
CLIENT SHOP - BAND GEAR HAND,CLIENT_SHOP-BAND_GEAR_HAND,HAND,,
CLIENT SHOP - GENERAL HAND,CLIENT_SHOP-GENERAL_HAND,HAND,,
CLIENT SHOP - LED WALL HAND,CLIENT_SHOP-LED_WALL_HAND,HAND,,
CLIENT SHOP - LIGHTING HAND,CLIENT_SHOP-LIGHTING_HAND,HAND,,
CLIENT SHOP - SCENIC HAND,CLIENT_SHOP-SCENIC_HAND,HAND,,
CLIENT SHOP - STAGING HAND,CLIENT_SHOP-STAGING_HAND,HAND,,
CLIENT SHOP - TRUCK HAND,CLIENT_SHOP-TRUCK_HAND,HAND,,
CLIENT SHOP - VIDEO HAND,CLIENT_SHOP-VIDEO_HAND,HAND,,
CLIENT SHOP - CARPENTER,CLIENT_SHOP-CARPENTER,HAND,,
CLIENT SHOP - PP,CLIENT_SHOP-PP,HAND,,
CLIENT SHOP - WCC 10,CLIENT_SHOP-WCC_10,HAND,,
DEPT LEAD - AUDIO,DEPT_LEAD-AUDIO,HAND,,
DEPT LEAD - AV,DEPT_LEAD-AV,HAND,,
DEPT LEAD - BAND GEAR,DEPT_LEAD-BAND_GEAR,HAND,,
DEPT LEAD - BREAKOUTS,DEPT_LEAD-BREAKOUTS,HAND,,
DEPT LEAD - GENERAL,DEPT_LEAD-GENERAL,HAND,,
DEPT LEAD - LED WALL,DEPT_LEAD-LED_WALL,HAND,,
DEPT LEAD - LIGHTING,DEPT_LEAD-LIGHTING,HAND,,
DEPT LEAD - SCENIC,DEPT_LEAD-SCENIC,HAND,,
DEPT LEAD - SHOW CALL,DEPT_LEAD-SHOW_CALL,HAND,,
DEPT LEAD - STAGING,DEPT_LEAD-STAGING,HAND,,
DEPT LEAD - STEEL (NON-CLIMBING),DEPT_LEAD-STEEL_(NON-CLIMBING),HAND,,
DEPT LEAD - TRUCK,DEPT_LEAD-TRUCK,HAND,,
DEPT LEAD - VIDEO,DEPT_LEAD-VIDEO,HAND,,
ENG TEAM <>,ENG_TEAM_<>,TECH,10,
EXPO SIGN BUILDER,EXPO_SIGN_BUILDER,HAND,,
EXPO SIGN LEAD,EXPO_SIGN_LEAD,RIGGER,,
EXPO SIGN RIGGER,EXPO_SIGN_RIGGER,RIGGER,,
FIELD CARPENTER,FIELD_CARPENTER,HAND,,
FLYMAN,FLYMAN,RIGGER,,
FLYMAN LEAD,FLYMAN_LEAD,RIGGER,,
FORK OP,FORK_OP,HAND,,
GENERATOR TECH <T>,GENERATOR_TECH_<T>,TECH,,
GRAPHICS <>,GRAPHICS_<>,TECH,10,
HAND - AUDIO,HAND-AUDIO,HAND,,
HAND - AV,HAND-AV,HAND,,
HAND - BAND GEAR,HAND-BAND_GEAR,HAND,,
HAND - BREAKOUTS,HAND-BREAKOUTS,HAND,,
HAND - COMPUTER,HAND-COMPUTER,HAND,,
HAND - DRAPE,HAND-DRAPE,HAND,,
HAND - GENERAL,HAND-GENERAL,HAND,,
HAND - HOUSE LIGHTS,HAND-HOUSE_LIGHTS,HAND,,
HAND - LED WALL,HAND-LED_WALL,HAND,,
HAND - LIGHTING,HAND-LIGHTING,HAND,,
HAND - LIGHT FOCUS,HAND-LIGHT_FOCUS,HAND,,
HAND - PRODUCTION,HAND-PRODUCTION,HAND,,
HAND - RUNNER,HAND-RUNNER,HAND,,
HAND - SCENIC,HAND-SCENIC,HAND,,
HAND - SET CHANGE,HAND-SET_CHANGE,HAND,,
HAND - SHOW CALL,HAND-SHOW_CALL,HAND,,
HAND - SHOW POWER,HAND-SHOW_POWER,HAND,,
HAND - STAGING,HAND-STAGING,HAND,,
HAND - STEEL (NON-CLIMBING),HAND-STEEL_(NON-CLIMBING),HAND,,
HAND - TRUCK,HAND-TRUCK,HAND,,
HAND - VIDEO,HAND-VIDEO,HAND,,
L1 <3XL½>,L1_<3XL½>,TECH,5,60.00
L1 <3XL>,L1_<3XL>,TECH,10,50.00
L1 <2XL½>,L1_<2XL½>,TECH,5,54.00
L1 <2XL>,L1_<2XL>,TECH,10,45.00
L1 <XL½>,L1_<XL½>,TECH,5,50.00
L1 <XL>,L1_<XL>,TECH,10,40.00
L1 <L½>,L1_<L½>,TECH,5,40.00
L1 <L>,L1_<L>,TECH,10,35.00
L1 <M½>,L1_<M½>,TECH,5,35.00
L1 <M>,L1_<M>,TECH,10,30.00
L1 <S½>,L1_<S½>,TECH,5,30.00
L1 <S>,L1_<S>,TECH,10,25.00
L2 <3XL½>,L2_<3XL½>,TECH,5,60.00
L2 <3XL>,L2_<3XL>,TECH,10,50.00
L2 <2XL½>,L2_<2XL½>,TECH,5,54.00
L2 <2XL>,L2_<2XL>,TECH,10,45.00
L2 <XL½>,L2_<XL½>,TECH,5,50.00
L2 <XL>,L2_<XL>,TECH,10,40.00
L2 <L½>,L2_<L½>,TECH,5,40.00
L2 <L>,L2_<L>,TECH,10,35.00
L2 <M½>,L2_<M½>,TECH,5,35.00
L2 <M>,L2_<M>,TECH,10,30.00
L2 <S½>,L2_<S½>,TECH,5,30.00
L2 <S>,L2_<S>,TECH,10,25.00
L3 <M½>,L3_<M½>,TECH,5,35.00
L3 <M>,L3_<M>,TECH,10,30.00
L3 <S½>,L3_<S½>,TECH,5,30.00
L3 <S>,L3_<S>,TECH,10,25.00
NETWORK / I.T. <>,NETWORK_/_I.T._<>,TECH,10,
NETWORK / I.T. <L½>,NETWORK_/_I.T._<L½>,TECH,5,40.00
NETWORK / I.T. <L>,NETWORK_/_I.T._<L>,TECH,10,35.00
NETWORK / I.T. <M½>,NETWORK_/_I.T._<M½>,TECH,5,35.00
NETWORK / I.T. <M>,NETWORK_/_I.T._<M>,TECH,10,30.00
NETWORK / I.T. <S½>,NETWORK_/_I.T._<S½>,TECH,5,30.00
NETWORK / I.T. <S>,NETWORK_/_I.T._<S>,TECH,10,25.00
PAINTER,PAINTER,HAND,,
PP - AUDIO,PP-AUDIO,HAND,,
PP - AV,PP-AV,HAND,,
PP - BAND GEAR,PP-BAND_GEAR,HAND,,
PP - BREAKOUTS,PP-BREAKOUTS,HAND,,
PP - COMPUTER,PP-COMPUTER,HAND,,
PP - DRAPE,PP-DRAPE,HAND,,
PP - GENERAL,PP-GENERAL,HAND,,
PP - LED WALL,PP-LED_WALL,HAND,,
PP - LIGHTING,PP-LIGHTING,HAND,,
PP - PRODUCTION,PP-PRODUCTION,HAND,,
PP - SCENIC,PP-SCENIC,HAND,,
PP - SET CHANGE,PP-SET_CHANGE,HAND,,
PP - SHOW CALL,PP-SHOW_CALL,HAND,,
PP - SHOW POWER,PP-SHOW_POWER,HAND,,
PP - STAGING,PP-STAGING,HAND,,
PP - STEEL (NON-CLIMBING),PP-STEEL_(NON-CLIMBING),HAND,,
PP - TRUCK,PP -_TRUCK,HAND,,
PP - VIDEO,PP-VIDEO,HAND,,
POWERPOINT <>,POWERPOINT_<>,TECH,10,
PRODUCTION ASSISTANT,PRODUCTION_ASSISTANT,HAND,,
PROJECTION <3XL½>,PROJECTION_<3XL½>,TECH,5,60.00
PROJECTION <3XL>,PROJECTION_<3XL>,TECH,10,50.00
PROJECTION <2XL½>,PROJECTION_<2XL½>,TECH,5,54.00
PROJECTION <2XL>,PROJECTION_<2XL>,TECH,10,45.00
PROJECTION <XL½>,PROJECTION_<XL½>,TECH,5,50.00
PROJECTION <XL>,PROJECTION_<XL>,TECH,10,40.00
PROJECTION <L½>,PROJECTION_<L½>,TECH,5,40.00
PROJECTION <L>,PROJECTION_<L>,TECH,10,35.00
PROJECTION <M½>,PROJECTION_<M½>,TECH,5,35.00
PROJECTION <M>,PROJECTION_<M>,TECH,10,30.00
PROJECTION <S½>,PROJECTION_<S½>,TECH,5,30.00
PROJECTION <S>,PROJECTION_<S>,TECH,10,25.00
RIGGER GROUND,RIGGER_GROUND,RIGGER,,
RIGGER LOW,RIGGER_LOW,RIGGER,,
RIGGER HIGH,RIGGER_HIGH,RIGGER,,
RIGGER LEAD,RIGGER_LEAD,RIGGER,,
RIGGER REPELLER,RIGGER_REPELLER,RIGGER,,
RIGGER REPELLER LEAD,RIGGER_REPELLER_LEAD,RIGGER,,
RUNNER W/ CAR <>,RUNNER_W/_CAR_<>,TECH,10,
RUNNER W/ SMPL CAR <>,RUNNER_W/_SMPL_CAR_<>,TECH,10,
SPOT OP,SPOT_OP,HAND,,
STEEL CLIMBER,STEEL_CLIMBER,RIGGER,,
SUPERVISOR 20,SUPERVISOR_20,HAND,,
SUPERVISOR 40,SUPERVISOR_40,HAND,,
SUPERVISOR 60,SUPERVISOR_60,HAND,,
SUPERVISOR 80,SUPERVISOR_80,HAND,,
TELEPROMPTER <>,TELEPROMPTER_<>,TECH,10,
TECHNICAL DIRECTOR <>,TECHNICAL_DIRECTOR_<>,TECH,10,
TOOL TRUCK RUNNER,TOOL_TRUCK_RUNNER,HAND,,
V1 <>,V1_<>,TECH,10,
V1 <3XL½>,V1_<3XL½>,TECH,5,60.00
V1 <3XL>,V1_<3XL>,TECH,10,50.00
V1 <2XL½>,V1_<2XL½>,TECH,5,54.00
V1 <2XL>,V1_<2XL>,TECH,10,45.00
V1 <XL½>,V1_<XL½>,TECH,5,50.00
V1 <XL>,V1_<XL>,TECH,10,40.00
V1 <L½>,V1_<L½>,TECH,5,40.00
V1 <L>,V1_<L>,TECH,10,35.00
V1 <M½>,V1_<M½>,TECH,5,35.00
V1 <M>,V1_<M>,TECH,10,30.00
V1 <S½>,V1_<S½>,TECH,5,30.00
V1 <S>,V1_<S>,TECH,10,25.00
V2 <3XL½>,V2_<3XL½>,TECH,5,60.00
V2 <3XL>,V2_<3XL>,TECH,10,50.00
V2 <2XL½>,V2_<2XL½>,TECH,5,54.00
V2 <2XL>,V2_<2XL>,TECH,10,45.00
V2 <XL½>,V2_<XL½>,TECH,5,50.00
V2 <XL>,V2_<XL>,TECH,10,40.00
V2 <L½>,V2_<L½>,TECH,5,40.00
V2 <L>,V2_<L>,TECH,10,35.00
V2 <M½>,V2_<M½>,TECH,5,35.00
V2 <M>,V2_<M>,TECH,10,30.00
V2 <S½>,V2_<S½>,TECH,5,30.00
V2 <S>,V2_<S>,TECH,10,25.00
V2 LED WALL <3XL½>,V2_LED_WALL_<3XL½>,TECH,5,60.00
V2 LED WALL <3XL>,V2_LED_WALL_<3XL>,TECH,10,50.00
V2 LED WALL <2XL½>,V2_LED_WALL_<2XL½>,TECH,5,54.00
V2 LED WALL <2XL>,V2_LED_WALL_<2XL>,TECH,10,45.00
V2 LED WALL <XL½>,V2_LED_WALL_<XL½>,TECH,5,50.00
V2 LED WALL <XL>,V2_LED_WALL_<XL>,TECH,10,40.00
V2 LED WALL <L½>,V2_LED_WALL_<L½>,TECH,5,40.00
V2 LED WALL <L>,V2_LED_WALL_<L>,TECH,10,35.00
V2 LED WALL <M½>,V2_LED_WALL_<M½>,TECH,5,35.00
V2 LED WALL <M>,V2_LED_WALL_<M>,TECH,10,30.00
V2 LED WALL <S½>,V2_LED_WALL_<S½>,TECH,5,30.00
V2 LED WALL <S>,V2_LED_WALL_<S>,TECH,10,25.00
V2 ROLL/RECORD <3XL½>,V2_ROLL/RECORD_<3XL½>,TECH,5,60.00
V2 ROLL/RECORD <3XL>,V2_ROLL/RECORD_<3XL>,TECH,10,50.00
V2 ROLL/RECORD <2XL½>,V2_ROLL/RECORD_<2XL½>,TECH,5,54.00
V2 ROLL/RECORD <2XL>,V2_ROLL/RECORD_<2XL>,TECH,10,45.00
V2 ROLL/RECORD <XL½>,V2_ROLL/RECORD_<XL½>,TECH,5,50.00
V2 ROLL/RECORD <XL>,V2_ROLL/RECORD_<XL>,TECH,10,40.00
V2 ROLL/RECORD <L½>,V2_ROLL/RECORD_<L½>,TECH,5,40.00
V2 ROLL/RECORD <L>,V2_ROLL/RECORD_<L>,TECH,10,35.00
V2 ROLL/RECORD <M½>,V2_ROLL/RECORD_<M½>,TECH,5,35.00
V2 ROLL/RECORD <M>,V2_ROLL/RECORD_<M>,TECH,10,30.00
V2 ROLL/RECORD <S½>,V2_ROLL/RECORD_<S½>,TECH,5,30.00
V2 ROLL/RECORD <S>,V2_ROLL/RECORD_<S>,TECH,10,25.00
V2 SHADER <3XL½>,V2_SHADER_<3XL½>,TECH,5,60.00
V2 SHADER <3XL>,V2_SHADER_<3XL>,TECH,10,50.00
V2 SHADER <2XL½>,V2_SHADER_<2XL½>,TECH,5,54.00
V2 SHADER <2XL>,V2_SHADER_<2XL>,TECH,10,45.00
V2 SHADER <XL½>,V2_SHADER_<XL½>,TECH,5,50.00
V2 SHADER <XL>,V2_SHADER_<XL>,TECH,10,40.00
V2 SHADER <L½>,V2_SHADER_<L½>,TECH,5,40.00
V2 SHADER <L>,V2_SHADER_<L>,TECH,10,35.00
V2 SHADER <M½>,V2_SHADER_<M½>,TECH,5,35.00
V2 SHADER <M>,V2_SHADER_<M>,TECH,10,30.00
V2 SHADER <S½>,V2_SHADER_<S½>,TECH,5,30.00
V2 SHADER <S>,V2_SHADER_<S>,TECH,10,25.00
V3 <M½>,V3_<M½>,TECH,5,35.00
V3 <M>,V3_<M>,TECH,10,30.00
V3 <S½>,V3_<S½>,TECH,5,30.00
V3 <S>,V3_<S>,TECH,10,25.00
VIDEO DIRECTOR <>,VIDEO_DIRECTOR_<>,TECH,10,
WCC 10 - AUDIO,WCC_10-AUDIO,HAND,,
WCC 10 - AV,WCC_10-AV,HAND,,
WCC 10 - BAND GEAR,WCC_10-BAND_GEAR,HAND,,
WCC 10 - BREAKOUTS,WCC_10-BREAKOUTS,HAND,,
WCC 10 - COMPUTER,WCC_10-COMPUTER,HAND,,
WCC 10 - DRAPE,WCC_10-DRAPE,HAND,,
WCC 10 - GENERAL,WCC_10-GENERAL,HAND,,
WCC 10 - LED WALL,WCC_10-LED_WALL,HAND,,
WCC 10 - LIGHTING,WCC_10-LIGHTING,HAND,,
WCC 10 - PRODUCTION,WCC_10-PRODUCTION,HAND,,
WCC 10 - SCENIC,WCC_10-SCENIC,HAND,,
WCC 10 - SET CHANGE,WCC_10-SET_CHANGE,HAND,,
WCC 10 - SHOW CALL,WCC_10-SHOW_CALL,HAND,,
WCC 10 - SHOW POWER,WCC_10-SHOW_POWER,HAND,,
WCC 10 - STAGING,WCC_10-STAGING,HAND,,
WCC 10 - STEEL (NON-CLIMBING),WCC_10-STEEL_(NON-CLIMBING),HAND,,
WCC 10 - TRUCK,WCC_10-TRUCK,HAND,,
WCC 10 - VIDEO,WCC_10-VIDEO,HAND,,
WCC 20 - AUDIO,WCC_20-AUDIO,HAND,,
WCC 20 - BAND GEAR,WCC_20-BAND_GEAR,HAND,,
WCC 20 - BREAKOUTS,WCC_20-BREAKOUTS,HAND,,
WCC 20 - GENERAL,WCC_20-GENERAL,HAND,,
WCC 20 - LIGHTING,WCC_20-LIGHTING,HAND,,
WCC 20 - SCENIC,WCC_20-SCENIC,HAND,,
WCC 20 - SHOW CALL,WCC_20-SHOW_CALL,HAND,,
WCC 20 - STAGING,WCC_20-STAGING,HAND,,
WCC 20 - STEEL (NON-CLIMBING),WCC_20-STEEL_(NON-CLIMBING),HAND,,
WCC 20 - TRUCK,WCC_20-TRUCK,HAND,,
WCC 20 - VIDEO,WCC_20-VIDEO,HAND,,
